Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Cykling,2026-02-11 07:30:53,false,"Staffanstorp Cykling","8.42","376","00:35:51","118","129","2.0","--","--","14.1","27.2","62","14","--","--","--","--","--","0.0","--","Nej","00:15:32","2","--","--","00:34:26","00:35:51","14","70"
Konditionspass,2026-02-10 19:04:15,false,"Kondition","0.00","505","00:57:20","111","172","2.8","128","248","--","--","--","--","0.00","--","--","--","--","0.0","2,014","Nej","00:57:20","1","--","--","00:00:00","00:57:20","--","--"
Längdskidåkning klassisk stil,2026-02-09 17:01:10,false,"Staffanstorp Längdskidåkning klassisk stil","23.38","1,215","02:01:37","125","141","2.9","71","255","11.5","21.6","62","64","0.00","0.0","11.0","619","47.0% vänster/53.0% höger","0.0","4,316","Nej","00:20:54","5","--","--","01:59:41","02:01:37","6","35"
Cykling,2026-02-09 15:28:28,false,"Lund Cykling","8.23","243","00:29:17","106","120","1.4","--","--","16.9","29.8","13","62","--","--","--","--","--","0.0","--","Nej","00:12:32","2","--","--","00:26:02","00:29:17","14","67"
Cykling,2026-02-09 07:29:35,false,"Staffanstorp Cykling","10.40","428","00:37:11","124","148","2.4","--","--","16.8","28.5","61","33","--","--","--","--","--","0.0","--","Nej","00:01:57.4","3","--","--","00:35:30","00:37:11","11","71"
Konditionspass,2026-02-06 07:06:11,false,"Kondition","0.00","567","01:09:59","109","149","1.7","121","236","--","--","--","--","0.00","--","--","--","--","0.0","3,072","Nej","01:09:59","1","--","--","00:00:00","01:09:59","--","--"
Konditionspass,2026-02-05 21:01:02,false,"Kondition","0.00","552","01:25:09","101","138","1.5","121","245","--","--","--","--","0.00","--","--","--","--","0.0","4,590","Nej","01:25:09","1","--","--","00:00:00","01:25:09","--","--"
Cykling,2026-02-05 07:01:49,false,"Staffanstorp Cykling","8.49","412","00:47:12","112","135","2.0","--","--","10.8","36.4","77","23","--","--","--","--","--","0.0","--","Nej","00:21:27","2","--","--","00:35:19","00:47:13","14","73"
Konditionspass,2026-02-03 19:03:22,false,"Kondition","0.00","534","01:12:26","104","169","2.1","124","222","--","--","--","--","0.00","--","--","--","--","0.0","2,042","Nej","01:12:26","1","--","--","00:00:00","01:12:26","--","--"
Cykling,2026-02-03 16:40:44,false,"Lund Cykling","8.20","261","00:25:54","114","170","2.0","--","--","19.0","31.6","6","55","--","--","--","--","--","0.0","--","Nej","00:08:47.6","2","--","--","00:23:05","00:25:54","14","67"
